date,price,dix,gex,NEGATIVE_GAMMA_REGIME,DIX_10D_MA,DARK_POOL_ACCUMULATION,DIP_BUY_SAFE,NET_LIQUIDITY_B,RISK_ON_LIQUIDITY,VPIN_PROXY,HIGH_TOXICITY_FLAG,TOTAL_CLUSTER_BUYS,EUREKA_AVOID_CRASH_FLAG,EUREKA_BUY_THE_DIP_FLAG
2025-11-14,6734.11,0.4572889529024689,5314866728.69,False,0.4418980958440131,False,True,6243.84,True,,,0,False,False
2025-11-17,6672.41,0.4418779670466153,4043957779.62,False,0.4432034157222946,False,True,6237.9,True,,,0,False,False
2025-11-18,6617.32,0.4057787841257781,3089427720.76,False,0.4402726193559096,False,True,6222.96,False,,,0,False,False
2025-11-19,6642.16,0.4275772517277845,3211649593.55,False,0.4398818851844506,False,True,6203.32,False,,,0,False,False
2025-11-20,6538.76,0.4616904854973454,1340626611.58,False,0.4416001910317647,False,True,6196.27,False,,,0,False,False
2025-11-21,6602.99,0.4354131355161924,2988036246.6,False,0.4435676440434382,False,True,6178.839999999999,False,,,0,False,False
2025-11-24,6705.12,0.4625193885191947,4690352253.26,False,0.4437994101510544,False,True,6188.94,False,,,0,False,False
2025-11-25,6765.88,0.4749065810454575,6492416925.57,False,0.4455103252305596,False,True,6198.530000000001,False,,,0,False,False
2025-11-26,6812.61,0.4904526631769301,8421491005.95,False,0.4504298041567992,True,True,6187.58,False,,,0,False,False
2025-11-28,6849.09,0.4493395888494485,6938138988.38,False,0.4506844798407215,True,True,6146.98,False,,,0,False,False
2025-12-01,6812.63,0.4908042317598918,6642945076.75,False,0.4540360077264638,True,True,6160.619999999999,False,,,0,False,False
2025-12-02,6829.37,0.4867801941739906,7458541203.42,False,0.4585262304392014,True,True,6126.249999999999,False,,,0,False,False
2025-12-03,6849.72,0.5020173590876521,7975761652.39,False,0.4681500879353887,True,True,6109.759999999999,False,,,0,False,False
2025-12-04,6857.12,0.4480904145339894,8601452063.7,False,0.4702014042160092,True,True,6099.91,False,,,0,False,False
2025-12-05,6870.4,0.4572996980446061,7176962361.07,False,0.4697623254707353,True,True,6060.959999999999,False,,,0,False,False
2025-12-08,6846.51,0.4647743571136219,6813504425.19,False,0.4726984476304783,True,True,6099.59,False,,,0,False,False
